,Unnamed: 0,Rank,CCA3,Country,Continent,2022 Population,2015 Population,1990 Population,1970 Population,Area (km²),Density (per km²),World Population Percentage
0,0,36,AFG,Afghanistan,Asia,41128771,33753499,10694796,10752971,652230,63.0587,0.52
1,1,138,ALB,Albania,Europe,2842321,2882481,3295066,2324731,28748,98.8702,0.04
2,2,34,DZA,Algeria,Africa,44903225,39543154,25518074,13795915,2381741,18.8531,0.56
3,3,213,ASM,American Samoa,Oceania,44273,51368,47818,27075,199,222.4774,0.0
4,4,203,AND,Andorra,Europe,79824,71746,53569,19860,468,170.5641,0.0
5,5,42,AGO,Angola,Africa,35588987,28127721,11828638,6029700,1246700,28.5466,0.45
6,6,224,AIA,Anguilla,North America,15857,14525,8316,6283,91,174.2527,0.0
7,7,201,ATG,Antigua and Barbuda,North America,93763,89941,63328,64516,442,212.1335,0.0
8,8,33,ARG,Argentina,South America,45510318,43257065,32637657,23842803,2780400,16.3683,0.57
9,9,140,ARM,Armenia,Asia,2780469,2878595,3556539,2534377,29743,93.4831,0.03
10,10,198,ABW,Aruba,North America,106445,104257,65712,59106,180,591.3611,0.0
11,11,55,AUS,Australia,Oceania,26177413,23820236,17048003,12595034,7692024,3.4032,0.33
12,12,99,AUT,Austria,Europe,8939617,8642421,7678729,7465301,83871,106.5877,0.11
13,13,91,AZE,Azerbaijan,Asia,10358074,9863480,7427836,5425317,86600,119.6082,0.13
14,14,176,BHS,Bahamas,North America,409984,392697,270679,179129,13943,29.4043,0.01
15,15,154,BHR,Bahrain,Asia,1472233,1362142,517418,222555,765,1924.4876,0.02
16,16,8,BGD,Bangladesh,Asia,171186372,157830000,107147651,67541860,147570,1160.035,2.15
17,17,186,BRB,Barbados,North America,281635,278083,258868,241397,430,654.9651,0.0
18,18,96,BLR,Belarus,Europe,9534954,9700609,10428525,9170786,207600,45.9295,0.12
19,19,81,BEL,Belgium,Europe,11655930,11248303,9959560,9629376,30528,381.8111,0.15
20,20,177,BLZ,Belize,North America,405272,359871,182589,120905,22966,17.6466,0.01
21,21,77,BEN,Benin,Africa,13352864,10932783,5133419,3023443,112622,118.5635,0.17
22,22,206,BMU,Bermuda,North America,64184,63144,57470,52019,54,1188.5926,0.0
23,23,165,BTN,Bhutan,Asia,782455,743274,558442,298894,38394,20.3796,0.01
24,24,80,BOL,Bolivia,South America,12224110,11090085,7096194,4585693,1098581,11.1272,0.15
25,25,137,BIH,Bosnia and Herzegovina,Europe,3233526,3524324,4494310,3815561,51209,63.1437,0.04
